name,date
15045_2017-10-31,2017.8301369863
150858355_2012-12-18,2012.96174863388
151404597_2015-04-10,2015.27123287671
151276890_2014-07-17,2014.5397260274
151351362_2014-11-06,2014.84657534247
151429032_2016-04-13,2016.28142076503
151527835_2015-09-16,2015.70684931507
JX161220_2008-10-15,2008.7868852459
JX160747_2003-02-05,2003.09589041096
151544109_2015-10-13,2015.78082191781
151553821_2015-10-28,2015.82191780822
JX160935_2001-12-31,2001.99726027397
JX160946_2001-10-03,2001.75342465753
JX161066_2009-04-28,2009.32054794521
JX161128_2009-08-21,2009.63561643836
JX161346_2006-07-24,2006.55890410959
KY579652_2013-01-14,2013.03561643836
KY579730_2012-06-10,2012.43989071038
JX160146_2003-02-13,2003.11780821918
JX161131_2006-08-14,2006.61643835616
JX160622_1998-12-02,1998.91780821918
JX160682_1998-12-02,1998.91780821918
JX161439_2005-06-03,2005.41917808219
JX161255_2007-05-31,2007.41095890411
JX160752_2005-01-14,2005.03561643836
JX160963_2009-07-21,2009.55068493151
JX161364_2007-01-29,2007.07671232877
JX161146_2003-11-28,2003.90684931507
JX161313_2001-01-03,2001.00547945205
151455580_2016-07-06,2016.51092896175
151702063_2016-09-15,2016.70491803279
152288892_2018-08-23,2018.64109589041
81613_2011-03-18,2011.20821917808
JX160526_2009-03-17,2009.20547945205
151478604_2015-06-23,2015.47397260274
152157010_2018-03-14,2018.19726027397
JX160715_2005-05-09,2005.35068493151
151713940_2016-09-07,2016.68306010929
151952698_2017-07-31,2017.57808219178
29307_2016-10-26,2016.81693989071
151694982_2016-06-21,2016.46994535519
16159_2014-12-31,2014.99726027397
152239086_2018-06-29,2018.4904109589
152251165_2018-08-21,2018.63561643836
JX161361_2009-07-22,2009.55342465753
151767465_2016-11-01,2016.83333333333
152164345_2018-04-19,2018.29589041096
JX160531_2007-03-05,2007.17260273973
JX161334_2003-04-11,2003.27397260274
JX161343_2001-11-27,2001.90410958904
JX160994_1998-12-02,1998.91780821918
152228722_2018-06-18,2018.4602739726
152240751_2018-06-29,2018.4904109589
KY579676_2011-08-17,2011.62465753425
JX160923_2004-03-01,2004.16393442623
151673581_2016-05-18,2016.37704918033
151675216_2016-06-15,2016.45355191257
JX160818_2003-09-23,2003.72602739726
JX160603_2003-02-27,2003.15616438356
JX160889_2007-08-13,2007.61369863014
JX160453_2005-11-24,2005.89589041096
JX160199_2003-08-11,2003.60821917808
JX160997_2005-10-24,2005.81095890411
JX160517_2005-05-20,2005.38082191781
JX161121_2006-08-31,2006.66301369863
JX160592_2007-01-03,2007.00547945205
JX161010_2004-12-28,2004.98907103825
JX160809_2000-10-11,2000.77595628415
JX160392_1999-12-06,1999.92876712329
KY579723_2013-08-22,2013.63835616438
151935238_2017-08-09,2017.60273972603
JX161279_2007-07-25,2007.56164383562
JX160501_2006-11-30,2006.91232876712
JX160702_2007-07-11,2007.52328767123
150928356_2015-04-13,2015.27945205479
151667943_2016-05-24,2016.39344262295
151679509_2016-06-13,2016.44808743169
151884588_2017-05-02,2017.33150684932
151078717_2017-02-08,2017.10410958904
87582_2012-11-07,2012.84972677596
151541650_2015-10-13,2015.78082191781
52870_2015-09-17,2015.7095890411
151938912_2017-07-20,2017.54794520548
151677001_2016-06-09,2016.43715846995
151496335_2015-07-21,2015.55068493151
152311917_2018-09-12,2018.69589041096
JX161419_2005-05-09,2005.35068493151
JX160758_2002-11-11,2002.8602739726
151470721_2015-06-05,2015.42465753425
JX160142_2006-09-11,2006.69315068493
JX160467_2004-04-09,2004.27049180328
151178743_2016-02-22,2016.14207650273
151622583_2016-12-05,2016.9262295082
151359936_2014-11-25,2014.89863013699
151372585_2014-12-09,2014.93698630137
151653846_2016-04-19,2016.29781420765
151655538_2016-04-19,2016.29781420765
150982042_2014-10-23,2014.80821917808
JX160218_2009-04-22,2009.30410958904
JX161105_2003-10-23,2003.80821917808
JX161226_2002-09-10,2002.6904109589
JX161258_2001-06-11,2001.44109589041
JX160156_2004-02-17,2004.12841530055
JX160265_2000-05-15,2000.36885245902
JX161320_2002-07-08,2002.51506849315
JX160611_2006-04-10,2006.27123287671
JX161161_2003-02-16,2003.12602739726
JX161177_2001-05-03,2001.33424657534
JX160181_2006-08-23,2006.64109589041
JX160396_2002-08-01,2002.58082191781
151460736_2015-06-11,2015.44109589041
151639915_2016-05-05,2016.34153005464
JX160718_2005-05-13,2005.36164383562
JX160195_2008-06-29,2008.49180327869
152119675_2018-04-13,2018.27945205479
JX160873_2003-04-09,2003.26849315068
151503730_2016-05-04,2016.33879781421
151508082_2015-08-11,2015.60821917808
151626918_2016-04-19,2016.29781420765
151930078_2017-07-05,2017.50684931507
JX160375_2008-06-23,2008.47540983607
JX160115_2004-12-01,2004.91530054645
JX161462_2007-06-19,2007.46301369863
151920693_2017-07-18,2017.54246575342
41377_2015-08-10,2015.60547945205
JX161165_1999-06-30,1999.49315068493
JX161301_2001-12-18,2001.96164383562
JX160854_2001-12-10,2001.9397260274
