areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2021-05-02,674,3863354
nation,England,E92000001,2021-05-01,991,3862680
nation,England,E92000001,2021-04-30,1343,3861689
nation,England,E92000001,2021-04-29,1836,3860346
nation,England,E92000001,2021-04-28,2134,3858510
nation,England,E92000001,2021-04-27,1805,3856376
nation,England,E92000001,2021-04-26,2319,3854571
nation,England,E92000001,2021-04-25,1921,3852252
nation,England,E92000001,2021-04-24,1248,3850331
nation,England,E92000001,2021-04-23,1656,3849083
nation,England,E92000001,2021-04-22,1995,3847427
nation,England,E92000001,2021-04-21,2267,3845432
nation,England,E92000001,2021-04-20,2032,3843165
nation,England,E92000001,2021-04-19,2368,3841133
nation,England,E92000001,2021-04-18,2310,3838765
nation,England,E92000001,2021-04-17,1357,3836455
nation,England,E92000001,2021-04-16,1883,3835098
nation,England,E92000001,2021-04-15,1924,3833215
nation,England,E92000001,2021-04-14,2029,3831291
nation,England,E92000001,2021-04-13,2016,3829262
nation,England,E92000001,2021-04-12,2404,3827246
nation,England,E92000001,2021-04-11,2017,3824842
nation,England,E92000001,2021-04-10,1932,3822825
nation,England,E92000001,2021-04-09,2365,3820893
nation,England,E92000001,2021-04-08,2540,3818528
nation,England,E92000001,2021-04-07,2633,3815988
nation,England,E92000001,2021-04-06,2584,3813355
nation,England,E92000001,2021-04-05,2194,3810771
nation,England,E92000001,2021-04-04,1923,3808577
nation,England,E92000001,2021-04-03,1993,3806654
nation,England,E92000001,2021-04-02,2125,3804661
nation,England,E92000001,2021-04-01,2864,3802536
nation,England,E92000001,2021-03-31,3120,3799672
nation,England,E92000001,2021-03-30,2929,3796552
nation,England,E92000001,2021-03-29,3188,3793623
nation,England,E92000001,2021-03-28,4083,3790435
nation,England,E92000001,2021-03-27,2937,3786352
nation,England,E92000001,2021-03-26,3615,3783415
nation,England,E92000001,2021-03-25,4441,3779800
nation,England,E92000001,2021-03-24,5108,3775359
nation,England,E92000001,2021-03-23,4332,3770251
nation,England,E92000001,2021-03-22,5140,3765919
nation,England,E92000001,2021-03-21,4516,3760779
nation,England,E92000001,2021-03-20,3366,3756263
nation,England,E92000001,2021-03-19,4134,3752897
nation,England,E92000001,2021-03-18,4521,3748763
nation,England,E92000001,2021-03-17,4851,3744242
nation,England,E92000001,2021-03-16,4741,3739391
nation,England,E92000001,2021-03-15,5439,3734650
nation,England,E92000001,2021-03-14,3580,3729211
nation,England,E92000001,2021-03-13,3449,3725631
nation,England,E92000001,2021-03-12,4611,3722182
nation,England,E92000001,2021-03-11,4686,3717571
nation,England,E92000001,2021-03-10,5003,3712885
nation,England,E92000001,2021-03-09,5212,3707882
nation,England,E92000001,2021-03-08,5566,3702670
nation,England,E92000001,2021-03-07,3529,3697104
nation,England,E92000001,2021-03-06,3698,3693575
nation,England,E92000001,2021-03-05,4553,3689877
nation,England,E92000001,2021-03-04,4789,3685324
nation,England,E92000001,2021-03-03,5094,3680535
nation,England,E92000001,2021-03-02,5681,3675441
nation,England,E92000001,2021-03-01,5893,3669760
nation,England,E92000001,2021-02-28,3952,3663867
nation,England,E92000001,2021-02-27,4103,3659915
nation,England,E92000001,2021-02-26,5664,3655812
nation,England,E92000001,2021-02-25,6615,3650148
nation,England,E92000001,2021-02-24,7290,3643533
nation,England,E92000001,2021-02-23,8142,3636243
nation,England,E92000001,2021-02-22,9852,3628101
nation,England,E92000001,2021-02-21,6797,3618249
nation,England,E92000001,2021-02-20,6889,3611452
nation,England,E92000001,2021-02-19,8881,3604563
nation,England,E92000001,2021-02-18,9904,3595682
nation,England,E92000001,2021-02-17,10025,3585778
nation,England,E92000001,2021-02-16,10816,3575753
nation,England,E92000001,2021-02-15,12465,3564937
nation,England,E92000001,2021-02-14,7531,3552472
nation,England,E92000001,2021-02-13,7739,3544941
nation,England,E92000001,2021-02-12,10563,3537202
nation,England,E92000001,2021-02-11,11226,3526639
nation,England,E92000001,2021-02-10,11839,3515413
nation,England,E92000001,2021-02-09,12242,3503574
nation,England,E92000001,2021-02-08,13841,3491332
nation,England,E92000001,2021-02-07,10134,3477491
nation,England,E92000001,2021-02-06,10581,3467357
nation,England,E92000001,2021-02-05,13974,3456776
nation,England,E92000001,2021-02-04,16155,3442802
nation,England,E92000001,2021-02-03,17410,3426647
nation,England,E92000001,2021-02-02,17657,3409237
nation,England,E92000001,2021-02-01,20108,3391580
nation,England,E92000001,2021-01-31,13708,3371472
nation,England,E92000001,2021-01-30,14998,3357764
nation,England,E92000001,2021-01-29,19684,3342766
nation,England,E92000001,2021-01-28,21844,3323082
nation,England,E92000001,2021-01-27,23238,3301238
nation,England,E92000001,2021-01-26,24433,3278000
nation,England,E92000001,2021-01-25,27104,3253567
nation,England,E92000001,2021-01-24,15455,3226463
nation,England,E92000001,2021-01-23,19875,3211008
nation,England,E92000001,2021-01-22,26902,3191133
nation,England,E92000001,2021-01-21,28761,3164231
nation,England,E92000001,2021-01-20,31753,3135470
nation,England,E92000001,2021-01-19,35972,3103717
nation,England,E92000001,2021-01-18,40720,3067745
nation,England,E92000001,2021-01-17,26207,3027025
nation,England,E92000001,2021-01-16,27654,3000818
nation,England,E92000001,2021-01-15,36791,2973164
nation,England,E92000001,2021-01-14,38518,2936373
nation,England,E92000001,2021-01-13,41149,2897855
nation,England,E92000001,2021-01-12,44676,2856706
nation,England,E92000001,2021-01-11,51995,2812030
nation,England,E92000001,2021-01-10,32855,2760035
nation,England,E92000001,2021-01-09,35441,2727180
nation,England,E92000001,2021-01-08,42337,2691739
nation,England,E92000001,2021-01-07,46823,2649402
nation,England,E92000001,2021-01-06,51314,2602579
nation,England,E92000001,2021-01-05,58034,2551265
nation,England,E92000001,2021-01-04,69106,2493231
nation,England,E92000001,2021-01-03,49509,2424125
nation,England,E92000001,2021-01-02,54159,2374616
nation,England,E92000001,2021-01-01,28218,2320457
nation,England,E92000001,2020-12-31,46685,2292239
nation,England,E92000001,2020-12-30,62886,2245554
nation,England,E92000001,2020-12-29,72509,2182668
nation,England,E92000001,2020-12-28,40034,2110159
nation,England,E92000001,2020-12-27,42441,2070125
nation,England,E92000001,2020-12-26,36701,2027684
nation,England,E92000001,2020-12-25,12674,1990983
nation,England,E92000001,2020-12-24,28697,1978309
nation,England,E92000001,2020-12-23,37626,1949612
nation,England,E92000001,2020-12-22,40899,1911986
nation,England,E92000001,2020-12-21,42594,1871087
nation,England,E92000001,2020-12-20,28940,1828493
nation,England,E92000001,2020-12-19,21736,1799553
nation,England,E92000001,2020-12-18,31826,1777817
nation,England,E92000001,2020-12-17,29598,1745991
nation,England,E92000001,2020-12-16,30119,1716393
nation,England,E92000001,2020-12-15,29100,1686274
nation,England,E92000001,2020-12-14,29520,1657174
nation,England,E92000001,2020-12-13,18125,1627654
nation,England,E92000001,2020-12-12,16036,1609529
nation,England,E92000001,2020-12-11,19877,1593493
nation,England,E92000001,2020-12-10,18543,1573616
nation,England,E92000001,2020-12-09,17460,1555073
nation,England,E92000001,2020-12-08,16674,1537613
nation,England,E92000001,2020-12-07,17395,1520939
nation,England,E92000001,2020-12-06,10868,1503544
nation,England,E92000001,2020-12-05,10142,1492676
nation,England,E92000001,2020-12-04,12878,1482534
nation,England,E92000001,2020-12-03,12534,1469656
nation,England,E92000001,2020-12-02,13468,1457122
nation,England,E92000001,2020-12-01,13511,1443654
nation,England,E92000001,2020-11-30,15026,1430143
nation,England,E92000001,2020-11-29,8909,1415117
nation,England,E92000001,2020-11-28,9209,1406208
nation,England,E92000001,2020-11-27,12267,1396999
nation,England,E92000001,2020-11-26,12281,1384732
nation,England,E92000001,2020-11-25,13932,1372451
nation,England,E92000001,2020-11-24,14027,1358519
nation,England,E92000001,2020-11-23,16208,1344492
nation,England,E92000001,2020-11-22,10038,1328284
nation,England,E92000001,2020-11-21,10619,1318246
nation,England,E92000001,2020-11-20,14679,1307627
nation,England,E92000001,2020-11-19,15506,1292948
nation,England,E92000001,2020-11-18,18218,1277442
nation,England,E92000001,2020-11-17,20327,1259224
nation,England,E92000001,2020-11-16,23727,1238897
nation,England,E92000001,2020-11-15,14219,1215170
nation,England,E92000001,2020-11-14,16040,1200951
nation,England,E92000001,2020-11-13,21644,1184911
nation,England,E92000001,2020-11-12,21952,1163267
nation,England,E92000001,2020-11-11,24645,1141315
nation,England,E92000001,2020-11-10,24457,1116670
nation,England,E92000001,2020-11-09,28095,1092213
nation,England,E92000001,2020-11-08,17964,1064118
nation,England,E92000001,2020-11-07,16620,1046154
nation,England,E92000001,2020-11-06,20823,1029534
nation,England,E92000001,2020-11-05,20874,1008711
nation,England,E92000001,2020-11-04,20693,987837
nation,England,E92000001,2020-11-03,22305,967144
nation,England,E92000001,2020-11-02,27924,944839
nation,England,E92000001,2020-11-01,13370,916915
nation,England,E92000001,2020-10-31,14341,903545
nation,England,E92000001,2020-10-30,19647,889204
nation,England,E92000001,2020-10-29,19984,869557
nation,England,E92000001,2020-10-28,20233,849573
nation,England,E92000001,2020-10-27,20488,829340
nation,England,E92000001,2020-10-26,22755,808852
nation,England,E92000001,2020-10-25,13165,786097
nation,England,E92000001,2020-10-24,13516,772932
nation,England,E92000001,2020-10-23,18108,759416
nation,England,E92000001,2020-10-22,19607,741308
nation,England,E92000001,2020-10-21,21490,721701
nation,England,E92000001,2020-10-20,21335,700211
nation,England,E92000001,2020-10-19,22101,678876
nation,England,E92000001,2020-10-18,11854,656775
nation,England,E92000001,2020-10-17,12350,644921
nation,England,E92000001,2020-10-16,14548,632571
nation,England,E92000001,2020-10-15,15245,618023
nation,England,E92000001,2020-10-14,16448,602778
nation,England,E92000001,2020-10-13,15438,586330
nation,England,E92000001,2020-10-12,16193,570892
nation,England,E92000001,2020-10-11,9654,554699
nation,England,E92000001,2020-10-10,10153,545045
nation,England,E92000001,2020-10-09,13008,534892
nation,England,E92000001,2020-10-08,15266,521884
nation,England,E92000001,2020-10-07,15193,506618
nation,England,E92000001,2020-10-06,14291,491425
nation,England,E92000001,2020-10-05,14036,477134
nation,England,E92000001,2020-10-04,9830,463098
nation,England,E92000001,2020-10-03,9703,453268
nation,England,E92000001,2020-10-02,11577,443565
nation,England,E92000001,2020-10-01,11303,431988
nation,England,E92000001,2020-09-30,10522,420685
nation,England,E92000001,2020-09-29,8725,410163
nation,England,E92000001,2020-09-28,8580,401438
nation,England,E92000001,2020-09-27,6023,392858
nation,England,E92000001,2020-09-26,5653,386835
nation,England,E92000001,2020-09-25,6035,381182
nation,England,E92000001,2020-09-24,6293,375147
nation,England,E92000001,2020-09-23,5887,368854
nation,England,E92000001,2020-09-22,5359,362967
nation,England,E92000001,2020-09-21,4699,357608
nation,England,E92000001,2020-09-20,4622,352909
nation,England,E92000001,2020-09-19,4177,348287
nation,England,E92000001,2020-09-18,4270,344110
nation,England,E92000001,2020-09-17,3933,339840
nation,England,E92000001,2020-09-16,3742,335907
nation,England,E92000001,2020-09-15,3038,332165
nation,England,E92000001,2020-09-14,2898,329127
nation,England,E92000001,2020-09-13,1708,326229
nation,England,E92000001,2020-09-12,2209,324521
nation,England,E92000001,2020-09-11,2855,322312
nation,England,E92000001,2020-09-10,3099,319457
nation,England,E92000001,2020-09-09,2849,316358
nation,England,E92000001,2020-09-08,2999,313509
nation,England,E92000001,2020-09-07,3464,310510
nation,England,E92000001,2020-09-06,2058,307046
nation,England,E92000001,2020-09-05,2188,304988
nation,England,E92000001,2020-09-04,2593,302800
nation,England,E92000001,2020-09-03,2665,300207
nation,England,E92000001,2020-09-02,2618,297542
nation,England,E92000001,2020-09-01,1929,294924
nation,England,E92000001,2020-08-31,1260,292995
nation,England,E92000001,2020-08-30,977,291735
nation,England,E92000001,2020-08-29,1041,290758
nation,England,E92000001,2020-08-28,1384,289717
nation,England,E92000001,2020-08-27,1325,288333
nation,England,E92000001,2020-08-26,1135,287008
nation,England,E92000001,2020-08-25,1061,285873
nation,England,E92000001,2020-08-24,1130,284812
nation,England,E92000001,2020-08-23,696,283682
nation,England,E92000001,2020-08-22,714,282986
nation,England,E92000001,2020-08-21,1006,282272
nation,England,E92000001,2020-08-20,1218,281266
nation,England,E92000001,2020-08-19,1071,280048
nation,England,E92000001,2020-08-18,925,278977
nation,England,E92000001,2020-08-17,1137,278052
nation,England,E92000001,2020-08-16,529,276915
nation,England,E92000001,2020-08-15,643,276386
nation,England,E92000001,2020-08-14,1038,275743
nation,England,E92000001,2020-08-13,1020,274705
nation,England,E92000001,2020-08-12,1095,273685
nation,England,E92000001,2020-08-11,1213,272590
nation,England,E92000001,2020-08-10,1349,271377
nation,England,E92000001,2020-08-09,557,270028
nation,England,E92000001,2020-08-08,636,269471
nation,England,E92000001,2020-08-07,865,268835
nation,England,E92000001,2020-08-06,979,267970
nation,England,E92000001,2020-08-05,940,266991
nation,England,E92000001,2020-08-04,921,266051
nation,England,E92000001,2020-08-03,938,265130
nation,England,E92000001,2020-08-02,512,264192
nation,England,E92000001,2020-08-01,494,263680
nation,England,E92000001,2020-07-31,626,263186
nation,England,E92000001,2020-07-30,857,262560
nation,England,E92000001,2020-07-29,971,261703
nation,England,E92000001,2020-07-28,780,260732
nation,England,E92000001,2020-07-27,808,259952
nation,England,E92000001,2020-07-26,515,259144
nation,England,E92000001,2020-07-25,492,258629
nation,England,E92000001,2020-07-24,719,258137
nation,England,E92000001,2020-07-23,731,257418
nation,England,E92000001,2020-07-22,750,256687
nation,England,E92000001,2020-07-21,689,255937
nation,England,E92000001,2020-07-20,753,255248
nation,England,E92000001,2020-07-19,413,254495
nation,England,E92000001,2020-07-18,468,254082
nation,England,E92000001,2020-07-17,547,253614
nation,England,E92000001,2020-07-16,640,253067
nation,England,E92000001,2020-07-15,723,252427
nation,England,E92000001,2020-07-14,649,251704
nation,England,E92000001,2020-07-13,691,251055
nation,England,E92000001,2020-07-12,352,250364
nation,England,E92000001,2020-07-11,422,250012
nation,England,E92000001,2020-07-10,524,249590
nation,England,E92000001,2020-07-09,680,249066
nation,England,E92000001,2020-07-08,674,248386
nation,England,E92000001,2020-07-07,560,247712
nation,England,E92000001,2020-07-06,659,247152
nation,England,E92000001,2020-07-05,540,246493
nation,England,E92000001,2020-07-04,388,245953
nation,England,E92000001,2020-07-03,543,245565
nation,England,E92000001,2020-07-02,565,245022
nation,England,E92000001,2020-07-01,615,244457
nation,England,E92000001,2020-06-30,573,243842
nation,England,E92000001,2020-06-29,666,243269
nation,England,E92000001,2020-06-28,411,242603
nation,England,E92000001,2020-06-27,504,242192
nation,England,E92000001,2020-06-26,642,241688
nation,England,E92000001,2020-06-25,636,241046
nation,England,E92000001,2020-06-24,728,240410
nation,England,E92000001,2020-06-23,729,239682
nation,England,E92000001,2020-06-22,816,238953
nation,England,E92000001,2020-06-21,550,238137
nation,England,E92000001,2020-06-20,629,237587
nation,England,E92000001,2020-06-19,816,236958
nation,England,E92000001,2020-06-18,942,236142
nation,England,E92000001,2020-06-17,909,235200
nation,England,E92000001,2020-06-16,993,234291
nation,England,E92000001,2020-06-15,938,233298
nation,England,E92000001,2020-06-14,745,232360
nation,England,E92000001,2020-06-13,787,231615
